city,link,name,party,sex,city_en
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7542,Abdullah DOĞRU,AK Parti,E,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7636,Ahmet ZENBİLCİ,AK Parti,E,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7606,Ayhan BARUT,CHP,E,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7554,Ayşe Sibel ERSOY,MHP,K,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7621,Burhanettin BULUT,CHP,E,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7553,İsmail KONCUK,İYİ Parti,E,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7163,Jülide SARIEROĞLU,AK Parti,K,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7566,Kemal PEKÖZ,HDP,E,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=5822,Mehmet Metanet ÇULHAOĞLU,İYİ Parti,E,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6852,Mehmet Şükrü ERDİNÇ,AK Parti,E,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6439,Muharrem VARLI,MHP,E,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7631,Müzeyyen ŞEVKİN,CHP,K,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7612,Orhan SÜMER,CHP,E,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7358,Tamer DAĞLI,AK Parti,E,ADANA
Adana,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7572,Tulay HATIMOĞULLARI ORUÇ,HDP,K,ADANA
Adıyaman,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7438,Abdurrahman TUTDERE,CHP,E,ADIYAMAN
Adıyaman,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=6608,Ahmet AYDIN,AK Parti,E,ADIYAMAN
Adıyaman,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7117,İbrahim Halil FIRAT,AK Parti,E,ADIYAMAN
Adıyaman,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7446,Muhammed Fatih TOPRAK,AK Parti,E,ADIYAMAN
Adıyaman,https://www.tbmm.gov.tr/develop/owa/milletvekillerimiz_sd.bilgi?p_donem=27&p_sicil=7447,Yakup TAŞ,AK Parti,E,ADIYAMAN
